(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:32:27.884, 	1, 	1, 	21.6075, 	15.3772, 	0, 	-1.38778e-15, 	1.52, 	(-0.376218,-0.709692);(-0.342647,1.1612);(0.551336,-0.757628);(-0.507944,0.722775);
14:33:00.882, 	1, 	2, 	22.3008, 	17.5741, 	1, 	-1.38778e-15, 	1.52, 	(-0.132313,0.143051);
14:33:00.922, 	1, 	2, 	19.0156, 	23.649, 	1, 	-1.38778e-15, 	1.52, 	(-0.614451,0.256138);
14:33:00.935, 	1, 	1, 	24.5183, 	16.7876, 	0, 	-1.38778e-15, 	1.52, 	(0.57605,-1.07843);(-1.36103,-0.0990809);(0.882487,0.530656);(-0.71466,-0.685799);
14:33:00.962, 	1, 	2, 	24.8037, 	25.2039, 	1, 	-1.38778e-15, 	1.52, 	(0.459902,0.0962674);
14:33:00.982, 	1, 	2, 	24.2994, 	24.7122, 	1, 	-1.38778e-15, 	1.824, 	(0.250711,0.586915);
14:33:00.993, 	1, 	1, 	23.2767, 	15.8123, 	0, 	-1.38778e-15, 	1.824, 	(-0.128967,-0.641291);(-1.10783,0.493541);(1.96645,0.304386);(-1.78932,-0.681434);
14:33:01.022, 	1, 	2, 	23.0105, 	24.8897, 	1, 	-1.38778e-15, 	1.824, 	(0.414301,-0.322502);
14:33:01.043, 	1, 	2, 	23.0525, 	24.3172, 	1, 	-1.38778e-15, 	2.128, 	(-0.661359,0.0915758);
14:33:01.053, 	1, 	1, 	24.5746, 	15.6232, 	0, 	-1.38778e-15, 	1.824, 	(-0.793518,-0.855724);(-0.501543,1.43044);(1.38113,-1.26888);(-1.618,0.799572);
14:33:01.083, 	1, 	2, 	20.869, 	17.7709, 	1, 	-1.38778e-15, 	2.128, 	(-0.199856,0.290087);
14:33:01.103, 	1, 	2, 	22.2908, 	24.8915, 	1, 	-1.38778e-15, 	2.128, 	(0.688909,-0.223903);
14:33:01.114, 	1, 	1, 	24.4783, 	15.1573, 	0, 	-1.38778e-15, 	1.824, 	(-0.587866,-1.008);(-0.920536,1.22916);(1.80042,-0.751763);(-1.97702,0.129735);
14:33:01.144, 	1, 	2, 	18.4735, 	22.158, 	1, 	-1.38778e-15, 	2.128, 	(0.582101,-0.360185);
14:33:01.157, 	1, 	1, 	25.6109, 	16.758, 	0, 	-1.38778e-15, 	1.824, 	(-1.0134,0.878053);(1.3955,0.66372);(-0.687054,-0.948404);(0.263206,1.2084);
14:33:01.174, 	1, 	1, 	26.1508, 	17.1392, 	0, 	-1.38778e-15, 	1.52, 	(0.781221,-1.17473);(-1.52449,-0.407062);(0.94735,0.945246);(-0.522423,-1.31002);
14:33:01.204, 	1, 	2, 	24.3329, 	25.3235, 	1, 	-1.38778e-15, 	1.824, 	(-0.506501,-0.0212708);
14:33:01.218, 	1, 	1, 	25.3891, 	21.2641, 	0, 	-1.38778e-15, 	1.52, 	(0.537882,0.907589);(1.23183,-0.837866);(-1.96115,-0.0387469);(1.98813,0.830797);
14:33:01.234, 	1, 	1, 	23.7084, 	17.7189, 	0, 	-1.38778e-15, 	1.216, 	(-0.528886,-0.716903);(-1.09656,0.814266);(1.9589,0.0282737);(-2.00074,-0.782148);
14:33:01.254, 	1, 	2, 	25.2195, 	21.059, 	1, 	-1.38778e-15, 	1.52, 	(0.238596,-0.422669);
14:33:01.274, 	1, 	1, 	24.5375, 	16.9869, 	0, 	-1.38778e-15, 	1.216, 	(1.02303,-0.229945);(-0.685491,-1.48793);(-0.441508,1.84021);(1.25484,-1.63197);
14:33:01.294, 	1, 	1, 	22.3269, 	16.0774, 	0, 	-1.38778e-15, 	0.912, 	(0.118906,0.691373);(1.23485,-0.154663);(-1.59799,-1.07651);(1.13992,1.73364);
14:33:01.315, 	1, 	2, 	24.9277, 	25.2881, 	1, 	-1.38778e-15, 	1.216, 	(0.0796697,-0.716081);
14:33:01.334, 	1, 	1, 	24.4286, 	17.3727, 	0, 	-1.38778e-15, 	0.912, 	(-1.03654,-0.237777);(0.0283375,1.49175);(1.23645,-1.53122);(-1.91031,0.946594);
14:33:01.354, 	1, 	1, 	26.2146, 	18.5562, 	0, 	-1.38778e-15, 	0.912, 	(-0.903615,-0.883624);(-0.473494,1.3913);(0.854683,-0.589703);(-1.1174,0.122707);
14:33:01.375, 	1, 	2, 	18.843, 	22.4326, 	1, 	-1.38778e-15, 	1.216, 	(0.088802,-0.713865);
14:33:01.395, 	1, 	1, 	24.266, 	16.2579, 	0, 	-1.38778e-15, 	0.912, 	(-0.6817,-0.746086);(-1.00597,1.11164);(2.05354,-0.190226);(-2.01086,-0.728213);
